product_id,nombre_producto,categoria,subcategoria,precio_venta_dop,costo_unitario_dop,margen_porcentaje,requiere_receta,es_generico,laboratorio,para_condicion_cronica
PROD-0001,Metformina 850mg,Medicamentos Crónicos,Antidiabéticos,180,95,47.2,True,True,Laboratorio Sued,Diabetes Tipo 2
PROD-0002,Metformina 500mg,Medicamentos Crónicos,Antidiabéticos,150,78,48.0,True,True,INFACA,Diabetes Tipo 2
PROD-0003,Glibenclamida 5mg,Medicamentos Crónicos,Antidiabéticos,120,60,50.0,True,True,Laboratorio Sued,Diabetes Tipo 2
PROD-0004,Insulina NPH 100UI,Medicamentos Crónicos,Antidiabéticos,850,520,38.8,True,False,Novo Nordisk,Diabetes Tipo 2
PROD-0005,Insulina Glargina,Medicamentos Crónicos,Antidiabéticos,2800,1900,32.1,True,False,Sanofi,Diabetes Tipo 2
PROD-0006,Sitagliptina 100mg,Medicamentos Crónicos,Antidiabéticos,1950,1200,38.5,True,False,MSD,Diabetes Tipo 2
PROD-0007,Losartán 50mg,Medicamentos Crónicos,Antihipertensivos,200,85,57.5,True,True,INFACA,Hipertensión
PROD-0008,Losartán 100mg,Medicamentos Crónicos,Antihipertensivos,320,140,56.2,True,True,Laboratorio Sued,Hipertensión
PROD-0009,Enalapril 20mg,Medicamentos Crónicos,Antihipertensivos,150,65,56.7,True,True,Rowe,Hipertensión
PROD-0010,Amlodipino 5mg,Medicamentos Crónicos,Antihipertensivos,180,80,55.6,True,True,INFACA,Hipertensión
PROD-0011,Amlodipino 10mg,Medicamentos Crónicos,Antihipertensivos,250,110,56.0,True,True,Laboratorio Sued,Hipertensión
PROD-0012,Valsartán 160mg,Medicamentos Crónicos,Antihipertensivos,450,250,44.4,True,False,Novartis,Hipertensión
PROD-0013,Hidroclorotiazida 25mg,Medicamentos Crónicos,Antihipertensivos,90,35,61.1,True,True,Rowe,Hipertensión
PROD-0014,Salbutamol Inhalador,Medicamentos Crónicos,Antiasmáticos,350,180,48.6,True,False,GSK,Asma
PROD-0015,Budesonida Inhalador,Medicamentos Crónicos,Antiasmáticos,780,450,42.3,True,False,AstraZeneca,Asma
PROD-0016,Montelukast 10mg,Medicamentos Crónicos,Antiasmáticos,550,280,49.1,True,True,MSD,Asma
PROD-0017,Fluticasona Spray,Medicamentos Crónicos,Antiasmáticos,650,380,41.5,True,False,GSK,Asma
PROD-0018,Atorvastatina 20mg,Medicamentos Crónicos,Hipolipemiantes,350,150,57.1,True,True,INFACA,Dislipidemia
PROD-0019,Atorvastatina 40mg,Medicamentos Crónicos,Hipolipemiantes,500,220,56.0,True,True,Laboratorio Sued,Dislipidemia
PROD-0020,Rosuvastatina 10mg,Medicamentos Crónicos,Hipolipemiantes,650,350,46.2,True,False,AstraZeneca,Dislipidemia
PROD-0021,Simvastatina 20mg,Medicamentos Crónicos,Hipolipemiantes,200,85,57.5,True,True,Rowe,Dislipidemia
PROD-0022,Levotiroxina 50mcg,Medicamentos Crónicos,Tiroides,280,130,53.6,True,True,Merck,Hipotiroidismo
PROD-0023,Levotiroxina 100mcg,Medicamentos Crónicos,Tiroides,350,160,54.3,True,True,Merck,Hipotiroidismo
