interaction_id,customer_id,fecha_interaccion,hora_interaccion,canal_contacto,motivo,transcripcion,sentimiento,puntaje_positivo,puntaje_negativo,puntaje_neutro,estrellas,resuelto,tiempo_espera_seg,duracion_minutos,agente
INT-00001,XFC-05904,2025-07-18,08:46,Email,Medicamento agotado,Llevo tres días esperando mi medicamento y nadie me da respuesta.,NEGATIVO,0.1128,0.6167,0.2705,2,True,18,7.7,José L.
INT-00002,XFC-05904,2025-06-29,13:52,Llamada,Consulta sobre programa de lealtad,El descuento de paciente crónico me ayuda mucho.,POSITIVO,0.8128,0.025,0.1622,5,True,440,13.5,Ana M.
INT-00003,XFC-02722,2025-12-31,09:01,Email,Queja de atención en sucursal,"Me encanta el servicio de delivery, muy puntual.",POSITIVO,0.7187,0.0226,0.2587,4,True,244,7.0,Luis F.
INT-00004,XFC-02025,2024-07-03,08:03,Llamada,Medicamento agotado,"La farmacéutica me explicó todo muy bien, muy profesional.",POSITIVO,0.5862,0.0226,0.3912,5,True,151,6.9,Miguel A.
INT-00005,XFC-02025,2025-09-15,14:04,WhatsApp,Consulta sobre producto,"Siempre encuentro todo lo que necesito, gracias.",POSITIVO,0.8664,0.0983,0.0353,5,True,94,8.1,María P.
INT-00006,XFC-02025,2024-04-22,15:56,WhatsApp,Queja de atención en sucursal,Me cobraron de más y no me quieren devolver el dinero.,NEGATIVO,0.1451,0.5803,0.2746,1,True,21,6.1,Rosa G.
INT-00007,XFC-05177,2025-11-29,11:06,Llamada,Cambio de medicamento,Estoy llamando para verificar si tienen Losartán 50mg.,NEUTRO,0.0764,0.2971,0.6265,3,False,10,9.5,Luis F.
INT-00008,XFC-05177,2025-10-07,08:55,Email,Consulta de horarios,"Siempre encuentro todo lo que necesito, gracias.",POSITIVO,0.9166,0.0468,0.0366,5,True,10,9.9,Rosa G.
INT-00009,XFC-02690,2024-02-28,08:52,Email,Devolución de producto,El descuento de paciente crónico me ayuda mucho.,POSITIVO,0.5593,0.0341,0.4066,5,True,139,8.7,Ana M.
INT-00010,XFC-02690,2024-09-23,12:43,Llamada,Problema con app/web,Estoy llamando para verificar si tienen Losartán 50mg.,NEUTRO,0.2297,0.2747,0.4956,3,False,282,12.0,Ana M.
INT-00011,XFC-02690,2025-03-02,13:10,WhatsApp,Consulta sobre programa de lealtad,"La farmacéutica me explicó todo muy bien, muy profesional.",POSITIVO,0.8713,0.0372,0.0915,4,True,92,4.0,Yolanda T.
INT-00012,XFC-07341,2024-09-06,10:50,WhatsApp,Consulta sobre producto,"La app funciona muy bien, pedí y me llegó al día siguiente.",POSITIVO,0.9192,0.0728,0.008,4,True,21,11.7,Carlos R.
INT-00013,XFC-07554,2024-03-20,12:15,Llamada,Problema con seguro/ARS,Esto es una falta de respeto al paciente crónico.,NEGATIVO,0.1148,0.8984,-0.0132,1,True,28,7.8,José L.
INT-00014,XFC-03976,2023-05-17,20:57,WhatsApp,Medicamento agotado,Es la segunda vez que vengo y no tienen mi receta lista.,NEGATIVO,0.1008,0.852,0.0472,2,True,29,5.0,Carmen S.
INT-00015,XFC-03316,2025-08-20,20:46,Email,Problema con seguro/ARS,Necesito información sobre el programa de lealtad.,NEUTRO,0.1963,0.2023,0.6014,3,True,47,12.9,Miguel A.
INT-00016,XFC-03316,2024-10-17,17:14,WhatsApp,Seguimiento de pedido,Me gustaría saber cuándo llega el próximo lote.,NEUTRO,0.4104,0.1351,0.4545,3,True,62,12.3,José L.
INT-00017,XFC-03528,2024-07-09,14:19,WhatsApp,Consulta sobre programa de lealtad,Quiero felicitar al personal de la sucursal del Distrito.,POSITIVO,0.557,0.0675,0.3755,4,True,26,2.9,José L.
INT-00018,XFC-03528,2025-04-04,16:27,WhatsApp,Error en facturación,No entiendo por qué subieron el precio sin aviso.,NEGATIVO,0.0717,0.8044,0.1239,2,True,85,11.1,José L.
INT-00019,XFC-03528,2025-06-25,17:53,Llamada,Cambio de medicamento,Quiero saber si ya llegó mi pedido de insulina.,NEUTRO,0.275,0.1462,0.5788,3,True,192,9.8,María P.
INT-00020,XFC-06856,2025-09-20,19:31,Llamada,Medicamento agotado,Es la segunda vez que vengo y no tienen mi receta lista.,NEGATIVO,0.1001,0.7472,0.1527,1,True,17,1.0,José L.
INT-00021,XFC-06856,2025-10-30,19:41,WhatsApp,Medicamento agotado,Pedí el genérico y me dieron el de marca sin consultar.,NEGATIVO,0.1319,0.5514,0.3167,1,False,23,3.0,Carmen S.
INT-00022,XFC-05304,2024-03-09,12:49,Email,Solicitud de reabastecimiento,Quisiera saber el horario de la sucursal de Santiago.,NEUTRO,0.3315,0.1671,0.5014,3,True,76,8.7,Yolanda T.
INT-00023,XFC-05304,2025-09-03,20:46,WhatsApp,Error en facturación,Pedí el genérico y me dieron el de marca sin consultar.,NEGATIVO,0.0286,0.9349,0.0365,1,True,262,9.4,José L.
INT-00024,XFC-01320,2025-11-24,12:57,Llamada,Consulta sobre programa de lealtad,"Muchas gracias, la atención fue excelente como siempre.",POSITIVO,0.8209,0.0665,0.1126,4,True,295,9.1,Carlos R.
INT-00025,XFC-01320,2025-11-16,20:51,WhatsApp,Reclamo de precio,Tengo una condición crónica y no pueden dejarme sin medicamento así.,NEGATIVO,0.0293,0.9344,0.0363,1,True,150,7.7,Carmen S.
INT-00026,XFC-06679,2025-09-11,10:48,Chat App,Devolución de producto,Quiero felicitar al personal de la sucursal del Distrito.,POSITIVO,0.5767,0.0573,0.366,4,True,223,7.0,Luis F.
INT-00027,XFC-00797,2023-07-15,16:34,Email,Problema con app/web,Quiero saber si ya llegó mi pedido de insulina.,NEUTRO,0.1691,0.188,0.6429,3,True,71,7.8,Carlos R.
INT-00028,XFC-02474,2025-08-29,07:32,Llamada,Retraso en delivery,"La farmacéutica me explicó todo muy bien, muy profesional.",POSITIVO,0.706,0.0922,0.2018,4,True,10,7.2,Rosa G.
INT-00029,XFC-02474,2024-09-12,10:37,Llamada,Reclamo de precio,"Me encanta el servicio de delivery, muy puntual.",POSITIVO,0.551,0.0916,0.3574,5,True,278,1.0,Luis F.
INT-00030,XFC-01421,2024-10-20,18:22,Llamada,Problema con seguro/ARS,No entiendo por qué subieron el precio sin aviso.,NEGATIVO,0.029,0.8439,0.1271,1,True,125,6.5,Luis F.
